YEAR,UID,SITE_ID,DOC,DOC_ALERT,NTL,NTL_ALERT,PTL,PTL_ALERT,CN,CP,NP
2009,14444,FW08OK074,0.78,H,201,NA,15.0425,NA,4.5268246610411715,133.71273758489167,29.537865412736718
2009,14445,FW08RNM9061,6.36,NA,679,NA,131.3,NA,10.926535202010108,124.90809575417288,11.431628914826913
2009,14446,FW08RNM9067,3.64,H,240,H,47.4775,H,17.69233971690258,197.70230791210054,11.174458046564826
2009,14447,FW08RNM9075,2.2,NA,199,NA,14.2488,NA,12.896288268988574,398.1462119766103,30.872930541884973
2009,14448,FW08RNM9076,1.83,H,457,NA,31.965,NA,4.671216728583219,147.62998611746585,31.604182527887556
2009,14458,FW08MS042,9.51,NA,854,NA,384.0394,NA,12.990257923237271,63.856179667750474,4.915697597776181
2009,14489,FW08OK048,7.33,H,2005,NA,331.0213,NA,4.264663071712891,57.10133115082202,13.38941205685621
2009,14499,FW08NM005,2.86,NA,308,H,19.2313,H,10.832044724634232,383.4913640147063,35.40341401495234
2009,14500,FW08NM008,4.32,H,669,H,253.93,H,7.532736172770822,43.87003007148935,5.823916975888498
2009,14501,FW08NM008,3.87,NA,789,H,276.8338,H,5.7217527852265055,36.048736616390066,6.3002960752634145
2009,14502,FW08NM010,1.6,HS,606,HS,63.8969,HS,3.0799416327977513,64.571130797067525,20.965050152074642
2009,14504,FW08MN013,8.36,H,1398,NA,99.1925,NA,6.975803425614562,217.33298214892082,31.155261822730324
2009,14505,FW08NM019,0.4,S,364,HS,27.8463,HS,1.2818987839803826,37.04168136724757,28.895948596058915
2009,14506,FW08NM022,3.1,S,351,S,35.1075,S,10.302668004583074,227.69840438339648,22.10091641137095
2009,14507,FW08NM022,2.92,H,325,H,161.5913,H,10.480804457823607,46.59754909177993,4.445989740510448
2009,14508,FW08NM023,1.87,H,348,H,17.5525,H,6.268411381320164,274.7266704703305,43.82716030556236
2009,14509,FW08NM024,4.29,NA,439,H,116.8356,H,11.399555040503452,94.68480671271453,8.30600899563996
2009,14510,FW08NM026,3.27,S,1011,HS,525.6919,HS,3.7730427413357317,16.040380467968454,4.251311625028091
2009,14511,FW08NM027,2.48,HS,3734,HS,71.15,HS,0.7747694632262794,89.88246501071079,116.01188389178895
2009,14512,FW08NM031,1.11,S,145,HS,97.2238,HS,8.929972149645412,29.440730735710613,3.2968446309073465
2009,14513,FW08NM034,4.03,S,685,HS,282.4919,HS,6.862930526264609,36.787243285407904,5.360282046368121
2009,14514,FW08NM035,1.38,HS,94,HS,48.3769,HS,17.125622265133664,73.55958138917359,4.295293931534082
2009,14515,FW08NM038,3.05,S,247,HS,19.5925,HS,14.404494230516404,401.42848081704693,27.868280162631965
2009,14516,FW08NM039,1.53,HS,345,HS,9.9263,HS,5.173297614306918,397.4680573176518,76.83069619239406
2009,14517,FW08NM042,3.97,NA,590,H,23.1281,H,7.849348706586319,442.63805438745953,56.39169196497103
2009,14518,FW08NM043,0.82,S,109,HS,58.8,HS,8.775714427579462,35.961245447387945,4.097814000689498
2009,14519,FW08NM045,4.28,HS,269,HS,68.815,HS,18.56036945667953,160.38319202016436,8.641163765328251
2009,14520,FW08NM047,3.52,H,399,NA,84.6513,NA,10.291173395603913,107.22775896341481,10.419390951980203
2009,14521,FW08NM048,3.3,S,340,HS,43.5988,HS,11.322182494979673,195.18102832689166,17.238816669262853
2009,14522,FW08NM105,3.53,HS,272,S,38.645,S,15.139130381544788,235.54809255107088,15.558891865956417
2009,14523,FW08RNM9006,1.53,HS,153,HS,68.4731,HS,11.665278934221481,57.61952032772295,4.939403562712009
2009,14524,FW08RNM9082,5.2,S,693,S,144.165,S,8.753167454249887,93.01258304122513,10.62616287502476
2009,14525,FW08AL003,6.14,NA,486,NA,45.8175,NA,14.737615772864176,345.5693217220857,23.44811583148813
2009,14526,FW08AL015,5.15,S,247,S,24.7256,S,24.32234271710147,537.1042487404197,22.082751443296296
2009,14527,FW08AL021,4.39,NA,551,NA,30.6188,NA,9.294115158118384,369.7213687710892,39.78015792586114
2009,14529,FW08AL030,6.14,NA,403,NA,31.34,NA,17.77290636628285,505.2049265475962,28.425566203737233
2009,14530,FW08AL051,2.08,NA,12,R,17.7756,NA,202.19816819317236,301.7430417907293,1.49231342938011
2009,14531,FW08RAL9038,5.52,S,167,S,23.3806,S,38.55828725563028,608.8097846771959,15.78933681988941
2009,14532,FW08RAL9059,2.02,H,245,NA,34.6819,NA,9.617903447807098,150.1919602985064,15.615873159212308
2009,14533,FW08WY001,2.39,HS,185,HS,56.4763,HS,15.070279271778022,109.12640854383692,7.241166973474536
